Time	CID	Xcord	Ycord	BotID	Energy
1148.44	3	250.00	0.00	2	13898.43750
1148.50	3	250.00	0.00	2	13929.37500
1148.56	3	250.00	0.00	2	13960.31250
1148.63	3	250.00	0.00	2	13991.25000
1148.69	3	250.00	0.00	2	14022.18750
1148.75	3	250.00	0.00	2	14053.12500
1148.81	3	250.00	0.00	2	14084.06250
1148.88	3	250.00	0.00	2	14115.00000
1148.94	3	250.00	0.00	2	14145.93750
1149.00	3	250.00	0.00	2	14176.87500
1149.06	3	250.00	0.00	2	14207.81250
1149.13	3	250.00	0.00	2	14238.75000
1149.19	3	250.00	0.00	2	14269.68750
1149.25	3	250.00	0.00	2	14300.62500
1149.31	3	250.00	0.00	2	14331.56250
1149.38	3	250.00	0.00	2	14362.50000
1149.44	3	250.00	0.00	2	14393.43750
1149.50	3	250.00	0.00	2	14424.37500
1149.56	3	250.00	0.00	2	14455.31250
1149.63	3	250.00	0.00	2	14486.25000
1149.69	3	250.00	0.00	2	14517.18750
1149.75	3	250.00	0.00	2	14548.12500
1149.81	3	250.00	0.00	2	14579.06250
1149.88	3	250.00	0.00	2	14610.00000
1149.94	3	250.00	0.00	2	14640.93750
1150.00	3	250.00	0.00	2	14671.87500
1150.06	3	250.00	0.00	2	14702.81250
1150.13	3	250.00	0.00	2	14733.75000
1150.19	3	250.00	0.00	2	14764.68750
1150.25	3	250.00	0.00	2	14795.62500
1150.31	3	250.00	0.00	2	14826.56250
1150.38	3	250.00	0.00	2	14857.50000
1150.44	3	250.00	0.00	2	14888.43750
1150.50	3	250.00	0.00	2	14919.37500
1150.56	3	250.00	0.00	2	14950.31250
1150.63	3	250.00	0.00	2	14981.25000
1328.19	1	0.00	250.00	1	3718.43750
1328.25	1	0.00	250.00	1	3749.37500
1328.31	1	0.00	250.00	1	3780.31250
1328.38	1	0.00	250.00	1	3811.25000
1328.44	1	0.00	250.00	1	3842.18750
1328.50	1	0.00	250.00	1	3873.12500
1328.56	1	0.00	250.00	1	3904.06250
1328.63	1	0.00	250.00	1	3935.00000
1328.69	1	0.00	250.00	1	3965.93750
1328.75	1	0.00	250.00	1	3996.87500
1328.81	1	0.00	250.00	1	4027.81250
1328.88	1	0.00	250.00	1	4058.75000
1328.94	1	0.00	250.00	1	4089.68750
1329.00	1	0.00	250.00	1	4120.62500
1329.06	1	0.00	250.00	1	4151.56250
